Year,FMP Area,FMP Subarea,Reporting Area Code,Trip Target Code,Trip Target Name,Species Group Name,Retained/Discarded,Gear Code,Weight Posted (Sum),WED (mmdd)
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Retained,TRW,5398.55,210
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Retained,TRW,3812.92,217
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Retained,TRW,5400.81,224
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Retained,TRW,35.03,324
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Retained,TRW,257.82,609
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Retained,TRW,45.32,616
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Retained,TRW,594.83,623
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Retained,TRW,247.9,630
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Retained,TRW,80,804
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Retained,TRW,153.42,811
1991,BSAI,BS,511,R,Rock Sole - BSAI,Pollock,Discarded,TRW,25.95,113
1991,BSAI,BS,511,R,Rock Sole - BSAI,Pollock,Discarded,TRW,0.18,120
1991,BSAI,BS,511,R,Rock Sole - BSAI,Pollock,Discarded,TRW,21.29,203
1991,BSAI,BS,511,R,Rock Sole - BSAI,Pollock,Discarded,TRW,560.46,217
1991,BSAI,BS,511,R,Rock Sole - BSAI,Pollock,Discarded,TRW,1867.19,224
1991,BSAI,BS,511,R,Rock Sole - BSAI,Pollock,Discarded,TRW,1549.32,303
1991,BSAI,BS,511,R,Rock Sole - BSAI,Pollock,Discarded,TRW,1352.35,310
1991,BSAI,BS,511,R,Rock Sole - BSAI,Pollock,Discarded,TRW,328.09,317
1991,BSAI,BS,511,R,Rock Sole - BSAI,Pollock,Discarded,TRW,0.21,512
1991,BSAI,BS,511,R,Rock Sole - BSAI,Pollock,Discarded,TRW,0.16,630
1991,BSAI,BS,511,R,Rock Sole - BSAI,Pollock,Retained,TRW,2.73,113
1991,BSAI,BS,511,R,Rock Sole - BSAI,Pollock,Retained,TRW,0.05,120
1991,BSAI,BS,511,R,Rock Sole - BSAI,Pollock,Retained,TRW,21.29,203
1991,BSAI,BS,511,R,Rock Sole - BSAI,Pollock,Retained,TRW,114.68,210
1991,BSAI,BS,511,R,Rock Sole - BSAI,Pollock,Retained,TRW,66.03,217
1991,BSAI,BS,511,R,Rock Sole - BSAI,Pollock,Retained,TRW,6.39,224
1991,BSAI,BS,511,R,Rock Sole - BSAI,Pollock,Retained,TRW,55.22,303
1991,BSAI,BS,511,R,Rock Sole - BSAI,Pollock,Retained,TRW,1.96,310
1991,BSAI,BS,511,R,Rock Sole - BSAI,Pollock,Retained,TRW,28.13,414
1991,BSAI,BS,511,R,Rock Sole - BSAI,Pollock,Retained,TRW,1.81,505
1991,BSAI,BS,511,W,Arrowtooth Flounder,Pollock,Discarded,TRW,4.86,120
