spp_file,Alt,Year,variable,value
EBS_Pollock_2023,3,2032,C_sd,309.973
EBS_Pollock_2023,3,2033,C_lb,820.685
EBS_Pollock_2023,3,2033,C_ub,1786.14
EBS_Pollock_2023,3,2033,C_median,1202.53
EBS_Pollock_2023,3,2033,C_mean,1240.75
EBS_Pollock_2023,3,2033,C_sd,315.235
EBS_Pollock_2023,3,2034,C_lb,805.885
EBS_Pollock_2023,3,2034,C_ub,1808.71
EBS_Pollock_2023,3,2034,C_median,1195.43
EBS_Pollock_2023,3,2034,C_mean,1238.96
EBS_Pollock_2023,3,2034,C_sd,315.448
EBS_Pollock_2023,3,2035,C_lb,805.738
EBS_Pollock_2023,3,2035,C_ub,1792.93
EBS_Pollock_2023,3,2035,C_median,1194.33
EBS_Pollock_2023,3,2035,C_mean,1235.68
EBS_Pollock_2023,3,2035,C_sd,314.616
EBS_Pollock_2023,3,2036,C_lb,809.316
EBS_Pollock_2023,3,2036,C_ub,1806.56
EBS_Pollock_2023,3,2036,C_median,1182.96
EBS_Pollock_2023,3,2036,C_mean,1230.99
EBS_Pollock_2023,3,2036,C_sd,309.619
EBS_Pollock_2023,3,2037,C_lb,809.336
EBS_Pollock_2023,3,2037,C_ub,1785.54
EBS_Pollock_2023,3,2037,C_median,1171.06
EBS_Pollock_2023,3,2037,C_mean,1229.27
EBS_Pollock_2023,3,2037,C_sd,310.524
EBS_Pollock_2023,3,2024,SSB_lb,3418.67
EBS_Pollock_2023,3,2024,SSB_ub,3418.67
EBS_Pollock_2023,3,2024,SSB_median,3418.67
EBS_Pollock_2023,3,2024,SSB_mean,3418.67
EBS_Pollock_2023,3,2025,SSB_lb,3110.38
EBS_Pollock_2023,3,2025,SSB_ub,3110.39
EBS_Pollock_2023,3,2025,SSB_median,3110.38
EBS_Pollock_2023,3,2025,SSB_mean,3110.38
EBS_Pollock_2023,3,2026,SSB_lb,2876.87
EBS_Pollock_2023,3,2026,SSB_ub,2890.18
EBS_Pollock_2023,3,2026,SSB_median,2880.31
EBS_Pollock_2023,3,2026,SSB_mean,2881.57
EBS_Pollock_2023,3,2027,SSB_lb,2642.3
EBS_Pollock_2023,3,2027,SSB_ub,3149.83
EBS_Pollock_2023,3,2027,SSB_median,2771.76
EBS_Pollock_2023,3,2027,SSB_mean,2821.44
EBS_Pollock_2023,3,2028,SSB_lb,2357.27
EBS_Pollock_2023,3,2028,SSB_ub,3750.57
EBS_Pollock_2023,3,2028,SSB_median,2756.53
EBS_Pollock_2023,3,2028,SSB_mean,2865
EBS_Pollock_2023,3,2029,SSB_lb,2138.16
EBS_Pollock_2023,3,2029,SSB_ub,4137.34
EBS_Pollock_2023,3,2029,SSB_median,2778.84
EBS_Pollock_2023,3,2029,SSB_mean,2920.43
EBS_Pollock_2023,3,2030,SSB_lb,2012.13
EBS_Pollock_2023,3,2030,SSB_ub,4254.34
EBS_Pollock_2023,3,2030,SSB_median,2826.67
EBS_Pollock_2023,3,2030,SSB_mean,2957.04
EBS_Pollock_2023,3,2031,SSB_lb,1923.27
EBS_Pollock_2023,3,2031,SSB_ub,4312.56
EBS_Pollock_2023,3,2031,SSB_median,2895.08
EBS_Pollock_2023,3,2031,SSB_mean,2987.86
EBS_Pollock_2023,3,2032,SSB_lb,1900.06
EBS_Pollock_2023,3,2032,SSB_ub,4442.29
EBS_Pollock_2023,3,2032,SSB_median,2894.59
EBS_Pollock_2023,3,2032,SSB_mean,3001.79
EBS_Pollock_2023,3,2033,SSB_lb,1896.82
EBS_Pollock_2023,3,2033,SSB_ub,4544.25
EBS_Pollock_2023,3,2033,SSB_median,2869.44
EBS_Pollock_2023,3,2033,SSB_mean,2994.48
EBS_Pollock_2023,3,2034,SSB_lb,1869.13
EBS_Pollock_2023,3,2034,SSB_ub,4493.44
EBS_Pollock_2023,3,2034,SSB_median,2844.13
EBS_Pollock_2023,3,2034,SSB_mean,2985.08
EBS_Pollock_2023,3,2035,SSB_lb,1885.96
EBS_Pollock_2023,3,2035,SSB_ub,4542.67
EBS_Pollock_2023,3,2035,SSB_median,2833.97
EBS_Pollock_2023,3,2035,SSB_mean,2969.32
EBS_Pollock_2023,3,2036,SSB_lb,1878.44
EBS_Pollock_2023,3,2036,SSB_ub,4421.66
EBS_Pollock_2023,3,2036,SSB_median,2825.96
EBS_Pollock_2023,3,2036,SSB_mean,2962.01
EBS_Pollock_2023,3,2037,SSB_lb,1887.06
EBS_Pollock_2023,3,2037,SSB_ub,4450.7
EBS_Pollock_2023,3,2037,SSB_median,2829.28
EBS_Pollock_2023,3,2037,SSB_mean,2969.04
EBS_Pollock_2023,3,2024,F_lb,0.232579
EBS_Pollock_2023,3,2024,F_ub,0.232579
EBS_Pollock_2023,3,2024,F_median,0.232579
EBS_Pollock_2023,3,2024,F_mean,0.232579
EBS_Pollock_2023,3,2025,F_lb,0.224215
EBS_Pollock_2023,3,2025,F_ub,0.224219
EBS_Pollock_2023,3,2025,F_median,0.224218
EBS_Pollock_2023,3,2025,F_mean,0.224218
EBS_Pollock_2023,3,2026,F_lb,0.240099
EBS_Pollock_2023,3,2026,F_ub,0.240099
EBS_Pollock_2023,3,2026,F_median,0.240099
EBS_Pollock_2023,3,2026,F_mean,0.240099
EBS_Pollock_2023,3,2027,F_lb,0.240099
EBS_Pollock_2023,3,2027,F_ub,0.240099
EBS_Pollock_2023,3,2027,F_median,0.240099
EBS_Pollock_2023,3,2027,F_mean,0.240099
EBS_Pollock_2023,3,2028,F_lb,0.240099
EBS_Pollock_2023,3,2028,F_ub,0.240099
EBS_Pollock_2023,3,2028,F_median,0.240099
EBS_Pollock_2023,3,2028,F_mean,0.240099
EBS_Pollock_2023,3,2029,F_lb,0.240099
EBS_Pollock_2023,3,2029,F_ub,0.240099
EBS_Pollock_2023,3,2029,F_median,0.240099
EBS_Pollock_2023,3,2029,F_mean,0.240099
EBS_Pollock_2023,3,2030,F_lb,0.240099
EBS_Pollock_2023,3,2030,F_ub,0.240099
EBS_Pollock_2023,3,2030,F_median,0.240099
EBS_Pollock_2023,3,2030,F_mean,0.240099
EBS_Pollock_2023,3,2031,F_lb,0.240099
EBS_Pollock_2023,3,2031,F_ub,0.240099
EBS_Pollock_2023,3,2031,F_median,0.240099
EBS_Pollock_2023,3,2031,F_mean,0.240099
EBS_Pollock_2023,3,2032,F_lb,0.240099
EBS_Pollock_2023,3,2032,F_ub,0.240099
EBS_Pollock_2023,3,2032,F_median,0.240099
EBS_Pollock_2023,3,2032,F_mean,0.240099
EBS_Pollock_2023,3,2033,F_lb,0.240099
EBS_Pollock_2023,3,2033,F_ub,0.240099
EBS_Pollock_2023,3,2033,F_median,0.240099
EBS_Pollock_2023,3,2033,F_mean,0.240099
EBS_Pollock_2023,3,2034,F_lb,0.240099
EBS_Pollock_2023,3,2034,F_ub,0.240099
EBS_Pollock_2023,3,2034,F_median,0.240099
EBS_Pollock_2023,3,2034,F_mean,0.240099
EBS_Pollock_2023,3,2035,F_lb,0.240099
EBS_Pollock_2023,3,2035,F_ub,0.240099
EBS_Pollock_2023,3,2035,F_median,0.240099
EBS_Pollock_2023,3,2035,F_mean,0.240099
EBS_Pollock_2023,3,2036,F_lb,0.240099
EBS_Pollock_2023,3,2036,F_ub,0.240099
EBS_Pollock_2023,3,2036,F_median,0.240099
EBS_Pollock_2023,3,2036,F_mean,0.240099
EBS_Pollock_2023,3,2037,F_lb,0.240099
EBS_Pollock_2023,3,2037,F_ub,0.240099
EBS_Pollock_2023,3,2037,F_median,0.240099
EBS_Pollock_2023,3,2037,F_mean,0.240099
EBS_Pollock_2023,4,2024,C_lb,1350
EBS_Pollock_2023,4,2024,C_ub,1350
EBS_Pollock_2023,4,2024,C_median,1350
EBS_Pollock_2023,4,2024,C_mean,1350
EBS_Pollock_2023,4,2024,C_sd,4.77485e-12
EBS_Pollock_2023,4,2025,C_lb,1350
EBS_Pollock_2023,4,2025,C_ub,1350
EBS_Pollock_2023,4,2025,C_median,1350
EBS_Pollock_2023,4,2025,C_mean,1350
EBS_Pollock_2023,4,2025,C_sd,2.45968e-07
EBS_Pollock_2023,4,2026,C_lb,871.084
EBS_Pollock_2023,4,2026,C_ub,895.883
EBS_Pollock_2023,4,2026,C_median,877.479
EBS_Pollock_2023,4,2026,C_mean,879.83
EBS_Pollock_2023,4,2026,C_sd,8.56369
EBS_Pollock_2023,4,2027,C_lb,812.465
EBS_Pollock_2023,4,2027,C_ub,945.753
